SNo,County or equivalent,State or district,Rank,Population,Core Based Statistical Area,Combined Statistical Area
937,Kiowa County,Kansas,3008,"2,496",,
938,Labette County,Kansas,1769,"21,284","Parsons, KS Micropolitan Statistical Area",
939,Lane County,Kansas,3074,"1,704",,
940,Leavenworth County,Kansas,703,"77,739","Kansas City, MO-KS Metropolitan Statistical Area","Kansas City-Overland Park-Kansas City, MO-KS Combined Statistical Area"
941,Lincoln County,Kansas,2963,"3,174",,
942,Linn County,Kansas,2477,"9,441","Kansas City, MO-KS Metropolitan Statistical Area","Kansas City-Overland Park-Kansas City, MO-KS Combined Statistical Area"
943,Logan County,Kansas,2990,"2,784",,
944,Lyon County,Kansas,1333,"33,748","Emporia, KS Micropolitan Statistical Area",
945,McPherson County,Kansas,1438,"29,356","McPherson, KS Micropolitan Statistical Area",
946,Marion County,Kansas,2283,"12,347",,
947,Marshall County,Kansas,2442,"10,022",,
948,Meade County,Kansas,2874,"4,396",,
949,Miami County,Kansas,1368,"32,612","Kansas City, MO-KS Metropolitan Statistical Area","Kansas City-Overland Park-Kansas City, MO-KS Combined Statistical Area"
950,Mitchell County,Kansas,2735,"6,355",,
951,Montgomery County,Kansas,1313,"34,459","Coffeyville, KS Micropolitan Statistical Area",
952,Morris County,Kansas,2777,"5,854",,
953,Morton County,Kansas,2964,"3,169",,
954,Nemaha County,Kansas,2431,"10,132",,
955,Neosho County,Kansas,2018,"16,406",,
956,Ness County,Kansas,2973,"3,068",,
957,Norton County,Kansas,2796,"5,612",,
958,Osage County,Kansas,2035,"16,142","Topeka, KS Metropolitan Statistical Area",
959,Osborne County,Kansas,2920,"3,806",,
960,Ottawa County,Kansas,2755,"6,072","Salina, KS Micropolitan Statistical Area",
961,Pawnee County,Kansas,2691,"6,928",,
962,Phillips County,Kansas,2804,"5,519",,
963,Pottawatomie County,Kansas,1719,"22,302","Manhattan, KS Metropolitan Statistical Area","Manhattan-Junction City, KS Combined Statistical Area"
964,Pratt County,Kansas,2457,"9,728",,
965,Rawlins County,Kansas,3003,"2,560",,
966,Reno County,Kansas,817,"64,438","Hutchinson, KS Micropolitan Statistical Area",
967,Republic County,Kansas,2848,"4,858",,
968,Rice County,Kansas,2445,"9,985",,
969,Riley County,Kansas,724,"75,508","Manhattan, KS Metropolitan Statistical Area","Manhattan-Junction City, KS Combined Statistical Area"
970,Rooks County,Kansas,2824,"5,223",,
971,Rush County,Kansas,2959,"3,220",,
972,Russell County,Kansas,2690,"6,946",,
973,Saline County,Kansas,903,"55,988","Salina, KS Micropolitan Statistical Area",
974,Scott County,Kansas,2842,"4,937",,
975,Sedgwick County,Kansas,129,"503,889","Wichita, KS Metropolitan Statistical Area","Wichita-Arkansas City-Winfield, KS Combined Statistical Area"
976,Seward County,Kansas,1661,"23,547","Liberal, KS Micropolitan Statistical Area",
977,Shawnee County,Kansas,352,"178,991","Topeka, KS Metropolitan Statistical Area",
978,Sheridan County,Kansas,3007,"2,538",,
979,Sherman County,Kansas,2751,"6,113",,
980,Smith County,Kansas,2925,"3,765",,
981,Stafford County,Kansas,2878,"4,358",,
982,Stanton County,Kansas,3039,"2,175",,
983,Stevens County,Kansas,2787,"5,756",,
984,Sumner County,Kansas,1657,"23,674","Wichita, KS Metropolitan Statistical Area","Wichita-Arkansas City-Winfield, KS Combined Statistical Area"
985,Thomas County,Kansas,2602,"7,941",,
986,Trego County,Kansas,2980,"2,986",,
987,Wabaunsee County,Kansas,2679,"7,039","Topeka, KS Metropolitan Statistical Area",
988,Wallace County,Kansas,3082,"1,517",,
989,Washington County,Kansas,2786,"5,758",,
990,Wichita County,Kansas,3031,"2,256",,
991,Wilson County,Kansas,2510,"9,105",,
992,Woodson County,Kansas,2956,"3,278",,
993,Wyandotte County,Kansas,396,"159,129","Kansas City, MO-KS Metropolitan Statistical Area","Kansas City-Overland Park-Kansas City, MO-KS Combined Statistical Area"
994,Adair County,Kentucky,1889,"18,675",,
995,Allen County,Kentucky,1831,"20,210","Bowling Green, KY Metropolitan Statistical Area","Bowling Green-Glasgow, KY Combined Statistical Area"
996,Anderson County,Kentucky,1742,"21,728","Frankfort, KY Micropolitan Statistical Area","Lexington-Fayette–Richmond–Frankfort, KY Combined Statistical Area"
997,Ballard County,Kentucky,2579,"8,333","Paducah, KY-IL Micropolitan Statistical Area","Paducah-Mayfield, KY-IL Combined Statistical Area"
998,Barren County,Kentucky,1119,"42,631","Glasgow, KY Micropolitan Statistical Area","Bowling Green-Glasgow, KY Combined Statistical Area"
999,Bath County,Kentucky,2310,"11,802","Mount Sterling, KY Micropolitan Statistical Area","Lexington-Fayette–Richmond–Frankfort, KY Combined Statistical Area"
1000,Bell County,Kentucky,1485,"28,183","Middlesborough, KY Micropolitan Statistical Area",
1001,Boone County,Kentucky,496,"123,316","Cincinnati, OH-KY-IN Metropolitan Statistical Area","Cincinnati-Wilmington-Maysville, OH-KY-IN Combined Statistical Area"
1002,Bourbon County,Kentucky,1841,"19,978","Lexington-Fayette, KY Metropolitan Statistical Area","Lexington-Fayette–Richmond–Frankfort, KY Combined Statistical Area"
1003,Boyd County,Kentucky,997,"49,164","Huntington-Ashland, WV-KY-OH Metropolitan Statistical Area","Charleston-Huntington-Ashland, WV-OH-KY Combined Statistical Area"
1004,Boyle County,Kentucky,1461,"28,658","Danville, KY Micropolitan Statistical Area",
